10-07-1988,1,2,3,4,5,6
06-21-1989,2257.0258,4257.0258,1257.0258,3257.0258,10257,20257
06-22-1989,2258.0259,4258.0259,1258.0259,3258.0259,10258,20258
07-02-1989,2268.0269,4268.0269,1268.0269,3268.0269,10268,20268
07-03-1989,2269.0270,4269.0270,1269.0270,3269.0270,10269,20269
07-04-1989,2270.0271,4270.0271,1270.0271,3270.0271,10270,20270
07-08-1989,2274.0275,4274.0275,1274.0275,3274.0275,10274,20274
07-09-1989,2275.0276,4275.0276,1275.0276,3275.0276,10275,20275
07-16-1989,2282.0283,4282.0283,1282.0283,3282.0283,10282,20282
07-17-1989,2283.0284,4283.0284,1283.0284,3283.0284,10283,20283
07-20-1989,2286.0287,4286.0287,1286.0287,3286.0287,10286,20286
07-24-1989,2290.0291,4290.0291,1290.0291,3290.0291,10290,20290
07-26-1989,2292.0293,4292.0293,1292.0293,3292.0293,10292,20292
07-31-1989,2297.0298,4297.0298,1297.0298,3297.0298,10297,20297
08-02-1989,2299.0300,4299.0300,1299.0300,3299.0300,10299,20299
08-04-1989,2301.0302,4301.0302,1301.0302,3301.0302,10301,20301
08-09-1989,2306.0307,4306.0307,1306.0307,3306.0307,10306,20306
08-15-1989,2312.0313,4312.0313,1312.0313,3312.0313,10312,20312
08-18-1989,2315.0316,4315.0316,1315.0316,3315.0316,10315,20315
08-21-1989,2318.0319,4318.0319,1318.0319,3318.0319,10318,20318
08-22-1989,2319.0320,4319.0320,1319.0320,3319.0320,10319,20319
08-23-1989,2320.0321,4320.0321,1320.0321,3320.0321,10320,20320
08-29-1989,2326.0327,4326.0327,1326.0327,3326.0327,10326,20326
09-24-1989,1,2,3,4,5,6
09-25-1989,2353.0354,4353.0354,1353.0354,3353.0354,10353,20353
09-26-1989,2354.0355,4354.0355,1354.0355,3354.0355,10354,20354
09-27-1989,2355.0356,4355.0356,1355.0356,3355.0356,10355,20355
09-28-1989,2356.0357,4356.0357,1356.0357,3356.0357,10356,20356
09-29-1989,2357.0358,4357.0358,1357.0358,3357.0358,10357,20357
09-30-1989,2358.0359,4358.0359,1358.0359,3358.0359,10358,20358
10-01-1989,2359.0360,4359.0360,1359.0360,3359.0360,10359,20359
10-02-1989,2360.0361,4360.0361,1360.0361,3360.0361,10360,20360
10-03-1989,2361.0362,4361.0362,1361.0362,3361.0362,10361,20361
10-04-1989,2362.0363,4362.0363,1362.0363,3362.0363,10362,20362
10-05-1989,2363.0364,4363.0364,1363.0364,3363.0364,10363,20363
10-06-1989,2364.0365,4364.0365,1364.0365,3364.0365,10364,20364
10-07-1989,2365.0366,4365.0366,1365.0366,3365.0366,10365,20365
10-08-1989,2366.0367,4366.0367,1366.0367,3366.0367,10366,20366
10-09-1989,2367.0368,4367.0368,1367.0368,3367.0368,10367,20367
10-10-1989,1,2,3,4,5,6
12-31-1989,2450.0451,4450.0451,1450.0451,3450.0451,10450,20450
01-01-1990,2451.0452,4451.0452,1451.0452,3451.0452,10451,20451
01-02-1990,2452.0453,4452.0453,1452.0453,3452.0453,10452,20452
01-03-1990,2453.0454,4453.0454,1453.0454,3453.0454,10453,20453
01-04-1990,2454.0455,4454.0455,1454.0455,3454.0455,10454,20454
01-05-1990,2455.0456,4455.0456,1455.0456,3455.0456,10455,20455
01-06-1990,2456.0457,4456.0457,1456.0457,3456.0457,10456,20456
01-07-1990,2457.0458,4457.0458,1457.0458,3457.0458,10457,20457
01-08-1990,2458.0459,4458.0459,1458.0459,3458.0459,10458,20458
01-09-1990,2459.0460,4459.0460,1459.0460,3459.0460,10459,20459
01-10-1990,2460.0461,4460.0461,1460.0461,3460.0461,10460,20460
01-11-1990,2461.0462,4461.0462,1461.0462,3461.0462,10461,20461
01-12-1990,2462.0463,4462.0463,1462.0463,3462.0463,10462,20462
01-13-1990,2463.0464,4463.0464,1463.0464,3463.0464,10463,20463
01-14-1990,2464.0465,4464.0465,1464.0465,3464.0465,10464,20464
01-15-1990,2465.0466,4465.0466,1465.0466,3465.0466,10465,20465
03-11-1990,1,2,3,4,5,6
03-12-1990,1,2,3,4,5,6
03-13-1990,2522.0523,4522.0523,1522.0523,3522.0523,10522,20522
03-14-1990,2523.0524,4523.0524,1523.0524,3523.0524,10523,20523
03-15-1990,2524.0525,4524.0525,1524.0525,3524.0525,10524,20524
03-16-1990,2525.0526,4525.0526,1525.0526,3525.0526,10525,20525
03-17-1990,2526.0527,4526.0527,1526.0527,3526.0527,10526,20526
03-18-1990,2527.0528,4527.0528,1527.0528,3527.0528,10527,20527
03-19-1990,2528.0529,4528.0529,1528.0529,3528.0529,10528,20528
03-20-1990,2529.0530,4529.0530,1529.0530,3529.0530,10529,20529
03-21-1990,2530.0531,4530.0531,1530.0531,3530.0531,10530,20530
03-22-1990,2531.0532,4531.0532,1531.0532,3531.0532,10531,20531
03-23-1990,2532.0533,4532.0533,1532.0533,3532.0533,10532,20532
03-24-1990,2533.0534,4533.0534,1533.0534,3533.0534,10533,20533
03-25-1990,2534.0535,4534.0535,1534.0535,3534.0535,10534,20534
03-26-1990,2535.0536,4535.0536,1535.0536,3535.0536,10535,20535
03-27-1990,2536.0537,4536.0537,1536.0537,3536.0537,10536,20536
03-28-1990,1,2,3,4,5,6
03-29-1990,1,2,3,4,5,6
07-02-1990,2633.0634,4633.0634,1633.0634,3633.0634,10633,20633
07-03-1990,2634.0635,4634.0635,1634.0635,3634.0635,10634,20634
07-04-1990,2635.0636,4635.0636,1635.0636,3635.0636,10635,20635
07-05-1990,2636.0637,4636.0637,1636.0637,3636.0637,10636,20636
07-06-1990,2637.0638,4637.0638,1637.0638,3637.0638,10637,20637
07-07-1990,2638.0639,4638.0639,1638.0639,3638.0639,10638,20638
07-08-1990,2639.0640,4639.0640,1639.0640,3639.0640,10639,20639
07-09-1990,2640.0641,4640.0641,1640.0641,3640.0641,10640,20640
07-10-1990,2641.0642,4641.0642,1641.0642,3641.0642,10641,20641
07-11-1990,2642.0643,4642.0643,1642.0643,3642.0643,10642,20642
07-12-1990,2643.0644,4643.0644,1643.0644,3643.0644,10643,20643
07-13-1990,2644.0645,4644.0645,1644.0645,3644.0645,10644,20644
07-14-1990,2645.0646,4645.0646,1645.0646,3645.0646,10645,20645
07-15-1990,2646.0647,4646.0647,1646.0647,3646.0647,10646,20646
07-16-1990,2647.0648,4647.0648,1647.0648,3647.0648,10647,20647
07-17-1990,2648.0649,4648.0649,1648.0649,3648.0649,10648,20648
09-02-1990,1,2,3,4,5,6
09-03-1990,1,2,3,4,5,6
09-04-1990,1,2,3,4,5,6
09-05-1990,2698.0699,4698.0699,1698.0699,3698.0699,10698,20698
09-06-1990,2699.0700,4699.0700,1699.0700,3699.0700,10699,20699
09-07-1990,2700.0701,4700.0701,1700.0701,3700.0701,10700,20700
09-08-1990,2701.0702,4701.0702,1701.0702,3701.0702,10701,20701
09-09-1990,2702.0703,4702.0703,1702.0703,3702.0703,10702,20702
09-10-1990,2703.0704,4703.0704,1703.0704,3703.0704,10703,20703
09-11-1990,2704.0705,4704.0705,1704.0705,3704.0705,10704,20704
09-12-1990,2705.0706,4705.0706,1705.0706,3705.0706,10705,20705
09-13-1990,2706.0707,4706.0707,1706.0707,3706.0707,10706,20706
09-14-1990,2707.0708,4707.0708,1707.0708,3707.0708,10707,20707
09-15-1990,1,2,3,4,5,6
09-16-1990,1,2,3,4,5,6
09-17-1990,1,2,3,4,5,6
12-12-1990,2796.0797,4796.0797,1796.0797,3796.0797,10796,20796
12-13-1990,2797.0798,4797.0798,1797.0798,3797.0798,10797,20797
12-14-1990,2798.0799,4798.0799,1798.0799,3798.0799,10798,20798
12-15-1990,2799.0800,4799.0800,1799.0800,3799.0800,10799,20799
12-16-1990,2800.0801,4800.0801,1800.0801,3800.0801,10800,20800
12-17-1990,2801.0802,4801.0802,1801.0802,3801.0802,10801,20801
12-18-1990,2802.0803,4802.0803,1802.0803,3802.0803,10802,20802
12-19-1990,2803.0804,4803.0804,1803.0804,3803.0804,10803,20803
12-20-1990,2804.0805,4804.0805,1804.0805,3804.0805,10804,20804
12-21-1990,2805.0806,4805.0806,1805.0806,3805.0806,10805,20805
12-22-1990,2806.0807,4806.0807,1806.0807,3806.0807,10806,20806
12-23-1990,2807.0808,4807.0808,1807.0808,3807.0808,10807,20807
12-24-1990,2808.0809,4808.0809,1808.0809,3808.0809,10808,20808
12-25-1990,2809.0810,4809.0810,1809.0810,3809.0810,10809,20809
12-26-1990,2810.0811,4810.0811,1810.0811,3810.0811,10810,20810
12-27-1990,2811.0812,4811.0812,1811.0812,3811.0812,10811,20811
01-21-1991,2836.0837,4836.0837,1836.0837,3836.0837,10836,20836
01-22-1991,2837.0838,4837.0838,1837.0838,3837.0838,10837,20837
01-23-1991,2838.0839,4838.0839,1838.0839,3838.0839,10838,20838
01-24-1991,2839.0840,4839.0840,1839.0840,3839.0840,10839,20839
01-25-1991,2840.0841,4840.0841,1840.0841,3840.0841,10840,20840
01-26-1991,2841.0842,4841.0842,1841.0842,3841.0842,10841,20841
01-27-1991,2842.0843,4842.0843,1842.0843,3842.0843,10842,20842
01-28-1991,2843.0844,4843.0844,1843.0844,3843.0844,10843,20843
01-29-1991,2844.0845,4844.0845,1844.0845,3844.0845,10844,20844
01-30-1991,2845.0846,4845.0846,1845.0846,3845.0846,10845,20845
01-31-1991,2846.0847,4846.0847,1846.0847,3846.0847,10846,20846
02-01-1991,1,2,3,4,5,6
02-02-1991,1,2,3,4,5,6
02-03-1991,1,2,3,4,5,6
02-04-1991,1,2,3,4,5,6
02-05-1991,1,2,3,4,5,6
02-06-1991,1,2,3,4,5,6
02-07-1991,1,2,3,4,5,6
02-08-1991,1,2,3,4,5,6
02-09-1991,2855.0856,4855.0856,1855.0856,3855.0856,10855,20855
02-10-1991,2856.0857,4856.0857,1856.0857,3856.0857,10856,20856
02-11-1991,2857.0858,4857.0858,1857.0858,3857.0858,10857,20857
02-12-1991,2858.0859,4858.0859,1858.0859,3858.0859,10858,20858
02-13-1991,2859.0860,4859.0860,1859.0860,3859.0860,10859,20859
02-14-1991,2860.0861,4860.0861,1860.0861,3860.0861,10860,20860
02-28-1991,1,2,3,4,5,6
03-01-1991,1,2,3,4,5,6
03-27-1991,1,2,3,4,5,6
03-31-1991,1,2,3,4,5,6
04-12-1991,1,2,3,4,5,6
05-07-1991,2942.0943,4942.0943,1942.0943,3942.0943,10942,20942
05-08-1991,2943.0944,4943.0944,1943.0944,3943.0944,10943,20943
05-09-1991,2944.0945,4944.0945,1944.0945,3944.0945,10944,20944
05-10-1991,2945.0946,4945.0946,1945.0946,3945.0946,10945,20945
05-11-1991,2946.0947,4946.0947,1946.0947,3946.0947,10946,20946
05-12-1991,2947.0948,4947.0948,1947.0948,3947.0948,10947,20947
05-13-1991,2948.0949,4948.0949,1948.0949,3948.0949,10948,20948
05-14-1991,2949.0950,4949.0950,1949.0950,3949.0950,10949,20949
05-15-1991,2950.0951,4950.0951,1950.0951,3950.0951,10950,20950
05-16-1991,2951.0952,4951.0952,1951.0952,3951.0952,10951,20951
05-17-1991,2952.0953,4952.0953,1952.0953,3952.0953,10952,20952
05-18-1991,2953.0954,4953.0954,1953.0954,3953.0954,10953,20953
05-19-1991,2954.0955,4954.0955,1954.0955,3954.0955,10954,20954
05-20-1991,2955.0956,4955.0956,1955.0956,3955.0956,10955,20955
05-21-1991,2956.0957,4956.0957,1956.0957,3956.0957,10956,20956
05-22-1991,2957.0958,4957.0958,1957.0958,3957.0958,10957,20957
05-23-1991,2958.0959,4958.0959,1958.0959,3958.0959,10958,20958
05-24-1991,2959.0960,4959.0960,1959.0960,3959.0960,10959,20959
05-25-1991,2960.0961,4960.0961,1960.0961,3960.0961,10960,20960
05-26-1991,2961.0962,4961.0962,1961.0962,3961.0962,10961,20961
05-27-1991,2962.0963,4962.0963,1962.0963,3962.0963,10962,20962
05-28-1991,2963.0964,4963.0964,1963.0964,3963.0964,10963,20963
05-29-1991,2964.0965,4964.0965,1964.0965,3964.0965,10964,20964
05-30-1991,2965.0966,4965.0966,1965.0966,3965.0966,10965,20965
05-31-1991,2966.0967,4966.0967,1966.0967,3966.0967,10966,20966
06-01-1991,2967.0968,4967.0968,1967.0968,3967.0968,10967,20967
06-02-1991,2968.0969,4968.0969,1968.0969,3968.0969,10968,20968
06-03-1991,2969.0970,4969.0970,1969.0970,3969.0970,10969,20969
06-04-1991,2970.0971,4970.0971,1970.0971,3970.0971,10970,20970
06-05-1991,2971.0972,4971.0972,1971.0972,3971.0972,10971,20971
06-12-1991,2978.0979,4978.0979,1978.0979,3978.0979,10978,20978
06-13-1991,2979.0980,4979.0980,1979.0980,3979.0980,10979,20979
06-15-1991,2981.0982,4981.0982,1981.0982,3981.0982,10981,20981
06-17-1991,2983.0984,4983.0984,1983.0984,3983.0984,10983,20983
06-18-1991,2984.0985,4984.0985,1984.0985,3984.0985,10984,20984
06-19-1991,2985.0986,4985.0986,1985.0986,3985.0986,10985,20985
06-21-1991,2987.0988,4987.0988,1987.0988,3987.0988,10987,20987
06-22-1991,2988.0989,4988.0989,1988.0989,3988.0989,10988,20988
06-23-1991,2989.0990,4989.0990,1989.0990,3989.0990,10989,20989
07-02-1991,1,2,3,4,5,6
07-03-1991,1,2,3,4,5,6
