DATE    OPEN    HIGH    LOW     CLOSE   VOLUME
11/9/199   95.06    95.5   92.12   93.62 9551900
########   94.62   97.06   94.12      97 8680500
########    97.5    97.5   94.87      95 7151700
########      96   96.25      93   95.87 9673100
########      96   96.37   93.87   94.06 6264700
########   94.62      95      93   94.62 8541600
########   94.87   94.87   92.62   93.75 8358000
########      94   98.25   93.56      9818720800
########      99  105.12   98.37  103.9419683100
########   105.5  108.44  104.44  107.8713682500
########  108.81  109.87     106  106.0610668100
########     105     105  101.81   104.5 9710600
########  105.94     106  104.12     105 3113100
########  104.94  104.94  103.37  104.19 5682000
########  103.69   104.5  102.12  103.06 5763600
12/1/199  102.56  104.44  102.25  103.42 5340000
12/2/199  103.44  106.31  103.37  105.27 6220800
12/3/199  109.81  112.87  107.94  111.8714680500
12/6/199     113   116.5   112.5     116 9933000
12/7/199     117  119.19  115.44  116.6211329500
12/8/199  116.25     121   115.5  118.28 8145300
12/9/199   120.5  122.12  112.25  113.3716644700
########  111.62  111.94  107.56     10912593800
########  108.12  112.75  106.56   109.7 7138100
########  110.19  110.19  106.87  109.25 7442300
########  107.75  107.94   104.5     107 9442300
########     108  109.69  105.75  109.19 7123600
########  110.69  111.06  108.62     110 7680600
########  109.06  110.44  107.75   109.2 4839800
########   108.5  110.12  108.06  110.12 4775500
########  109.87  110.31     108     108 4008800
########  109.12  110.44  108.19  108.62 4533600
########  109.69     110  108.12  109.75 3741100
########  109.56  110.75  109.06  109.81 4084800
########  110.44   110.5  108.75     109 2685200
########  109.69   110.5  108.56  108.75 3438000
########  109.19   109.5  106.62  107.87 2870500
