66,TA_INVALID_LIST_TYPE,No Info
67,TA_YAHOO_IDX_EXPIRED,No Info
68,TA_YAHOO_IDX_UNAVAILABLE_1,Local cache does not have a Yahoo! index
69,TA_YAHOO_IDX_FAILED,No Info
70,TA_LIBCURL_GLOBAL_INIT_FAILED,libCurl shared library missing?
71,TA_LIBCURL_INIT_FAILED,libCurl shared library missing?
72,TA_INSTRUMENT_ID_BAD,TA_Instrument not initialized.
73,TA_TRADE_LOG_NOT_INITIALIZED,TA_TradeLog corrupted or not initialized
74,TA_BAD_TRADE_TYPE,No Info
75,TA_BAD_START_DATE,No Info
76,TA_BAD_END_DATE,No Info
77,TA_INTERNET_SET_RX_TIMEOUT_FAILED,No Info
78,TA_NO_TRADE_LOG,No Info
79,TA_ENTRY_TRANSACTION_MISSING,No Info
80,TA_INVALID_VALUE_ID,No Info
81,TA_BAD_STARTING_CAPITAL,No Info
82,TA_TRADELOG_ALREADY_ADDED,TA_TradeLog already added to a TA_PM. When that TA_PM is freed, the TA_TradeLog can be added again.
83,TA_YAHOO_IDX_UNAVAILABLE_2,Possibly timeout of internet connection
84,TA_YAHOO_IDX_UNAVAILABLE_3,Failed to find a Yahoo! index
85,TA_NO_WEEKDAY_IN_DATE_RANGE,No Info
86,TA_VALUE_NOT_APPLICABLE,This PM value is not applicable to these trades.
700,TA_IP_NOSOCKETS,Sockets not supported
701,TA_IP_BADHOST,Host not known
702,TA_IP_BADSERVICE,Service or port not known
703,TA_IP_BADPROTOCOL,Invalid protocol specified
704,TA_IP_SOCKETERROR,Error creating socket
705,TA_IP_CONNECTERROR,Error making connection
706,TA_IP_BINDERROR,Error binding socket
707,TA_IP_LISTENERROR,Error preparing to listen
708,TA_IP_WRITE_ERROR,Error writing to socket
709,TA_IP_READ_ERROR,Error reading from socket
710,TA_IP_UNKNOWN_ERR,No Info
800,TA_HTTP_NO_HEADER,HTTP header not found.
801,TA_HTTP_SC_301,Moved Permanently
802,TA_HTTP_SC_302,Moved Temporarily
803,TA_HTTP_SC_304,Not Modified
804,TA_HTTP_SC_400,Bad Request
805,TA_HTTP_SC_401,Unauthorized
806,TA_HTTP_SC_403,Forbidden
807,TA_HTTP_SC_404,Not Found
808,TA_HTTP_SC_500,Internal Server Error
809,TA_HTTP_SC_501,Not Implemented
810,TA_HTTP_SC_502,Bad Gateway
811,TA_HTTP_SC_503,Service Unavailable
821,TA_HTTP_SC_UNKNOWN,Unknown error code.
